 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.
  -.6696E-08   1.000      -.6602E-02
  -.2352E-09   .9975       .8306E-01
   .1304E-08   .9897       .1694    
   .2594E-08   .9772       .2500    
   .3574E-08   .9613       .3235    
   .4242E-08   .9428       .3892    
   .4625E-08   .9229       .4473    
   .4759E-08   .9021       .4986    
  -.1360E-07   .1653E-01   1.025    
  -.1219E-07   .4087       .9576    
   .1210E-08   .6113       .8573    
   .4804E-08   .7235       .7650    
   .6239E-08   .7951       .6829    
   .6846E-08   .8435       .6117    
   .6994E-08   .8775       .5508    
   .6903E-08   .9021       .4986    
   .1025E-07   1.000      -.6602E-02
   .4697E-09   .9967      -.9646E-01
  -.7920E-09   .9879      -.1833    
  -.1820E-08   .9744      -.2647    
  -.2561E-08   .9572      -.3392    
  -.3016E-08   .9374      -.4060    
  -.3213E-08   .9161      -.4650    
  -.3170E-08   .8938      -.5172    
   .1360E-07  -.1653E-01  -1.025    
   .1208E-07   .3460      -.9775    
   .4089E-08   .5761      -.8797    
  -.9068E-08   .7004      -.7871    
  -.9143E-08   .7783      -.7044    
  -.8778E-08   .8307      -.6322    
  -.8322E-08   .8673      -.5703    
  -.7851E-08   .8938      -.5172    
   0  352 a/b   upsx       upsy       phi          Fx          Fy         aM
  -.5412E-08   1.000      -.9936E-02
  -.1523E-07   .9945       .1243    
  -.9929E-08   .9776       .2481    
  -.6080E-08   .9527       .3556    
  -.3654E-08   .9234       .4459    
  -.2277E-08   .8923       .5204    
  -.1597E-08   .8611       .5815    
  -.1413E-08   .8306       .6322    
  -.1359E-07   .1653E-01   1.025    
  -.1101E-07   .3071       .9879    
  -.5820E-08   .4990       .9206    
  -.1715E-08   .6151       .8546    
   .1286E-07   .6946       .7923    
   .1250E-07   .7528       .7341    
   .1191E-07   .7966       .6808    
   .1136E-07   .8306       .6322    
   .1839E-08   1.000      -.9936E-02
  -.8692E-09   .9925      -.1447    
  -.2048E-08   .9734      -.2698    
  -.2667E-08   .9460      -.3789    
  -.2761E-08   .9137      -.4709    
  -.2454E-08   .8794      -.5468    
  -.1868E-08   .8451      -.6091    
  -.1077E-08   .8114      -.6606    
   .1359E-07  -.1653E-01  -1.025    
   .1492E-07   .2248      -1.005    
   .9857E-08   .4291      -.9500    
   .4222E-09   .5678      -.8845    
  -.3948E-08   .6594      -.8219    
  -.5066E-08   .7248      -.7636    
  -.5711E-08   .7737      -.7099    
  -.6140E-08   .8114      -.6606    
   0  384 a/b   upsx       upsy       phi          Fx          Fy         aM
   .7124E-08   .9999      -.1331E-01
   .6134E-08   .9902       .1652    
   .1087E-07   .9620       .3204    
   .1195E-07   .9238       .4446    
   .1094E-07   .8824       .5408    
   .9075E-08   .8414       .6150    
   .7056E-08   .8027       .6726    
   .5164E-08   .7665       .7183    
  -.1359E-07   .1653E-01   1.025    
  -.1162E-07   .2487       1.001    
  -.8586E-08   .4227       .9523    
  -.3839E-08   .5376       .9012    
  -.1997E-08   .6184       .8523    
  -.8796E-09   .6796       .8053    
   .1149E-09   .7277       .7606    
   .1005E-08   .7665       .7183    
  -.9703E-08   .9999      -.1331E-01
   .3307E-08   .9866      -.1927    
   .6544E-08   .9542      -.3503    
   .8646E-08   .9112      -.4770    
   .9765E-08   .8644      -.5753    
   .1040E-07   .8181      -.6508    
   .1091E-07   .7741      -.7092    
   .1156E-07   .7328      -.7553    
   .1359E-07  -.1653E-01  -1.025    
   .1544E-07   .1582      -1.015    
   .1356E-07   .3226      -.9837    
   .5868E-08   .4583      -.9382    
   .3295E-08   .5586      -.8895    
   .2795E-08   .6321      -.8424    
   .1475E-08   .6882      -.7977    
  -.1384E-07   .7328      -.7553    
   0  416 a/b   upsx       upsy       phi          Fx          Fy         aM
   .1426E-07   .9999      -.1673E-01
   .1643E-07   .9847       .2054    
   .1631E-07   .9438       .3857    
   .1401E-07   .8931       .5183    
   .1105E-07   .8419       .6139    
   .2096E-07   .7941       .6838    
   .1393E-07   .7508       .7360    
   .8773E-08   .7116       .7763    
  -.1359E-07   .1653E-01   1.025    
  -.1186E-07   .2115       1.008    
  -.1011E-07   .3681       .9707    
  -.5463E-08   .4794       .9293    
  -.4259E-08   .5595       .8891    
  -.5087E-08   .6212       .8502    
  -.5725E-08   .6707       .8126    
  -.5914E-08   .7116       .7763    
  -.9440E-08   .9999      -.1673E-01
  -.1696E-07   .9789      -.2404    
  -.1860E-07   .9311      -.4242    
  -.1768E-07   .8726      -.5598    
  -.1498E-07   .8133      -.6574    
  -.1121E-07   .7576      -.7283    
  -.6725E-08   .7067      -.7808    
